p=29: 11 pattern unknowns, D=436: max lambda_min = -9.198687e-02  -> infeasible in this ansatz
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(2), np.int64(2))): +0.035013
    ((-1, -1, 1, 1, 1, 1), (np.int64(1), np.int64(2), np.int64(2), np.int64(3))): -0.023047
    ((-1, 1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(3), np.int64(3))): +0.091066
    ((-1, -1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(2), np.int64(2))): +0.085412
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(3))): -0.067154
    ((-1, -1, -1, -1, 1, 1), (np.int64(0), np.int64(1), np.int64(1), np.int64(2))): -0.050439
    ((-1, -1, -1, 1, 1, 1), (np.int64(0), np.int64(2), np.int64(2), np.int64(2))): -0.167146
    ((-1, -1, -1, -1, -1, 1), (np.int64(0), np.int64(0), np.int64(1), np.int64(1))): +0.020523
    ((-1, -1, -1, -1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(1))): +0.148182
    ((1, 1, 1, 1, 1, 1), (np.int64(3), np.int64(3), np.int64(3), np.int64(3))): +0.276516
    ((-1, -1, -1, -1, -1, -1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0))): +0.051111
p=37: 11 pattern unknowns, D=704: max lambda_min = -6.709018e-02  -> infeasible in this ansatz
    ((-1, -1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(2), np.int64(2))): +0.066623
    ((-1, -1, 1, 1, 1, 1), (np.int64(1), np.int64(2), np.int64(2), np.int64(3))): -0.018780
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(2), np.int64(2))): +0.027515
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(3))): -0.055669
    ((-1, 1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(3), np.int64(3))): +0.063004
    ((-1, -1, -1, -1, 1, 1), (np.int64(0), np.int64(1), np.int64(1), np.int64(2))): -0.037976
    ((-1, -1, -1, 1, 1, 1), (np.int64(0), np.int64(2), np.int64(2), np.int64(2))): -0.126098
    ((1, 1, 1, 1, 1, 1), (np.int64(3), np.int64(3), np.int64(3), np.int64(3))): +0.191567
    ((-1, -1, -1, -1, -1, 1), (np.int64(0), np.int64(0), np.int64(1), np.int64(1))): +0.017638
    ((-1, -1, -1, -1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(1))): +0.111383
    ((-1, -1, -1, -1, -1, -1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0))): +0.041985
p=41: 11 pattern unknowns, D=862: max lambda_min = -6.230937e-02  -> infeasible in this ansatz
    ((-1, 1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(3), np.int64(3))): +0.053644
    ((-1, -1, 1, 1, 1, 1), (np.int64(1), np.int64(2), np.int64(2), np.int64(3))): -0.017259
    ((1, 1, 1, 1, 1, 1), (np.int64(3), np.int64(3), np.int64(3), np.int64(3))): +0.163025
    ((-1, -1, -1, 1, 1, 1), (np.int64(0), np.int64(2), np.int64(2), np.int64(2))): -0.110279
    ((-1, -1, 1, 1, 1, 1), (np.int64(2), np.int64(2), np.int64(2), np.int64(2))): +0.060716
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(3))): -0.051649
    ((-1, -1, -1, 1, 1, 1), (np.int64(1), np.int64(1), np.int64(2), np.int64(2))): +0.024697
    ((-1, -1, -1, -1, 1, 1), (np.int64(0), np.int64(1), np.int64(1), np.int64(2))): -0.033443
    ((-1, -1, -1, -1, 1, 1), (np.int64(1), np.int64(1), np.int64(1), np.int64(1))): +0.098390
    ((-1, -1, -1, -1, -1, 1), (np.int64(0), np.int64(0), np.int64(1), np.int64(1))): +0.015949
    ((-1, -1, -1, -1, -1, -1), (np.int64(0), np.int64(0), np.int64(0), np.int64(0))): +0.039080
